src_ip,dst_ip,src_port,dst_port,bytes,protocol,label
192.168.1.34,1.1.1.1,42380,8080,1802,6,1
10.0.0.113,8.8.8.8,54361,5701,44,6,1
192.168.1.24,8.8.8.8,4052,80,2105,6,0
192.168.1.15,8.8.8.8,25975,53,1488,6,0
192.168.1.21,172.16.0.30,60708,25,553,6,0
192.168.1.20,172.16.0.10,26102,80,1797,6,1
10.0.0.119,172.16.0.10,54012,33501,45,6,1
192.168.1.29,172.16.0.30,33636,6697,975,6,1
192.168.1.14,1.1.1.1,4567,443,455,17,1
192.168.1.47,151.101.1.69,41723,25,593,6,0
192.168.1.15,151.101.1.69,37351,25,436,6,0
192.168.1.39,172.16.0.20,42933,53,4991,6,0
192.168.1.19,1.1.1.1,6934,6697,356,6,1
192.168.1.12,93.184.216.34,5361,22,1828,6,0
192.168.1.33,172.16.0.10,43951,80,500,6,1
10.0.0.107,172.16.0.20,48226,443,68,17,1
192.168.1.44,172.16.0.20,49097,443,463,6,1
192.168.1.44,1.1.1.1,8182,443,4907,6,0
192.168.1.31,104.244.42.1,40755,443,4323,6,0
192.168.1.21,104.244.42.1,20733,443,1282,6,0
192.168.1.40,172.16.0.20,39105,80,1914,6,1
192.168.1.13,172.16.0.10,4203,53,152,6,0
10.0.0.115,93.184.216.34,11207,443,2769,6,1
192.168.1.26,172.16.0.30,20582,53,4258,6,0
192.168.1.38,172.16.0.10,41531,8080,818,6,1
192.168.1.17,93.184.216.34,19586,80,4958,6,0
192.168.1.24,8.8.8.8,50541,53,1220,6,0
192.168.1.45,8.8.8.8,9762,21,3906,6,0
192.168.1.43,1.1.1.1,14189,80,117,17,1
192.168.1.44,8.8.8.8,50486,53,4980,6,0
10.0.0.117,172.16.0.10,10138,443,970,6,1
192.168.1.12,8.8.8.8,3606,80,290,17,1
10.0.0.117,172.16.0.20,36087,443,244,6,1
192.168.1.31,151.101.1.69,22961,21,3627,6,0
192.168.1.43,1.1.1.1,63246,80,56,17,1
10.0.0.101,172.16.0.30,41408,6697,941,6,1
192.168.1.29,104.244.42.1,62970,80,3321,6,0
10.0.0.112,172.16.0.30,64808,80,731,6,1
192.168.1.40,1.1.1.1,29265,80,1197,6,0
10.0.0.110,172.16.0.30,43007,80,1024,6,1
10.0.0.109,172.16.0.30,32978,80,180,6,1
192.168.1.19,151.101.1.69,16597,22,2567,6,0
192.168.1.20,172.16.0.30,59883,8080,1676,6,1
192.168.1.16,93.184.216.34,44612,22,2188,6,0
192.168.1.14,172.16.0.10,28262,21,4066,6,0
10.0.0.111,172.16.0.10,61481,101,94,6,1
10.0.0.105,104.244.42.1,44338,8080,2636,6,1
192.168.1.33,172.16.0.30,63717,25,4700,6,0
10.0.0.119,172.16.0.10,15102,6667,976,6,1
192.168.1.31,172.16.0.30,19824,80,3970,6,0
192.168.1.41,104.244.42.1,49046,443,2985,6,0
10.0.0.115,1.1.1.1,62858,54701,74,6,1
10.0.0.106,8.8.8.8,51905,64501,77,6,1
10.0.0.117,172.16.0.10,27453,443,428,6,1
10.0.0.118,172.16.0.30,7565,80,426,17,1
10.0.0.105,8.8.8.8,59807,80,1889,6,1
192.168.1.38,1.1.1.1,43521,8080,1589,6,1
192.168.1.31,172.16.0.30,2423,80,1911,6,1
192.168.1.41,1.1.1.1,43913,443,55,6,1
192.168.1.43,93.184.216.34,36680,25,4256,6,0
10.0.0.101,172.16.0.20,8425,443,464,17,1
10.0.0.109,172.16.0.20,52270,9301,40,6,1
10.0.0.101,172.16.0.30,36282,8080,316,6,1
10.0.0.102,8.8.8.8,64051,37701,100,6,1
192.168.1.35,104.244.42.1,64837,22,1630,6,0
10.0.0.103,8.8.8.8,26494,6667,776,6,1
192.168.1.14,172.16.0.10,48908,80,201,6,1
10.0.0.113,172.16.0.10,4837,8080,647,6,1
192.168.1.28,172.16.0.20,24296,8080,1165,6,1
192.168.1.36,1.1.1.1,59218,443,361,17,1
192.168.1.33,8.8.8.8,37206,8080,1641,6,1
192.168.1.34,172.16.0.20,20757,80,225,6,1
192.168.1.34,8.8.8.8,36650,80,1212,6,1
192.168.1.44,172.16.0.30,33865,443,271,6,1
192.168.1.16,93.184.216.34,43368,25,1513,6,0
192.168.1.14,8.8.8.8,14713,21,2827,6,0
192.168.1.46,1.1.1.1,63306,443,184,6,1
192.168.1.42,8.8.8.8,41099,6697,860,6,1
10.0.0.119,151.101.1.69,7793,21,58,6,1
10.0.0.111,8.8.8.8,18740,21,118,6,1
10.0.0.101,172.16.0.10,21007,8080,441,6,1
10.0.0.108,172.16.0.20,57958,12901,86,6,1
192.168.1.32,1.1.1.1,1308,443,281,6,1
192.168.1.30,8.8.8.8,26161,22,2029,6,0
192.168.1.14,1.1.1.1,47673,443,1526,6,0
192.168.1.29,104.244.42.1,17519,22,2120,6,0
10.0.0.102,172.16.0.20,54653,32701,80,6,1
10.0.0.119,172.16.0.10,53065,17901,40,6,1
192.168.1.31,172.16.0.30,44963,53,3568,6,0
192.168.1.17,1.1.1.1,18901,443,3780,6,0
192.168.1.40,1.1.1.1,12015,443,380,6,1
10.0.0.110,172.16.0.10,64805,13501,44,6,1
192.168.1.13,172.16.0.10,3688,8080,851,6,1
10.0.0.109,8.8.8.8,36518,8080,1251,6,1
192.168.1.39,104.244.42.1,5159,443,3849,6,0
192.168.1.27,172.16.0.30,31861,80,37,17,1
10.0.0.107,172.16.0.20,51972,8080,747,6,1
192.168.1.35,172.16.0.20,49901,22,2881,6,0
192.168.1.23,8.8.8.8,1798,80,1880,6,1
192.168.1.48,172.16.0.10,36428,443,380,17,1
192.168.1.48,172.16.0.30,25404,22,3736,6,0
10.0.0.109,172.16.0.10,8379,80,1732,6,1
192.168.1.18,172.16.0.10,38011,25,322,6,0
10.0.0.107,172.16.0.10,17935,8080,1688,6,1
192.168.1.15,104.244.42.1,22867,21,2730,6,0
192.168.1.33,1.1.1.1,34271,443,163,17,1
192.168.1.33,172.16.0.20,2664,21,4699,6,0
10.0.0.110,172.16.0.30,56806,27801,44,6,1
192.168.1.28,172.16.0.10,8037,443,889,6,0
10.0.0.114,172.16.0.10,24995,8080,1344,6,1
192.168.1.40,172.16.0.20,64234,80,4608,6,0
192.168.1.14,172.16.0.30,32172,53,4603,6,0
192.168.1.23,104.244.42.1,6581,53,2424,6,0
192.168.1.21,151.101.1.69,49295,443,2821,6,0
192.168.1.14,172.16.0.10,46924,22,622,6,0
192.168.1.23,151.101.1.69,59285,21,4569,6,0
192.168.1.13,1.1.1.1,48275,8080,629,6,1
10.0.0.114,172.16.0.10,16360,443,31,17,1
10.0.0.115,172.16.0.30,52414,4701,80,6,1
192.168.1.39,151.101.1.69,8522,53,4616,6,0
192.168.1.49,151.101.1.69,33418,80,2762,6,0
10.0.0.101,172.16.0.20,50590,9501,98,6,1
10.0.0.103,151.101.1.69,25662,21,194,6,1
192.168.1.35,172.16.0.30,59199,8080,1411,6,1
192.168.1.23,93.184.216.34,56541,21,3139,6,0
192.168.1.19,8.8.8.8,27736,21,2810,6,0
10.0.0.102,172.16.0.20,46398,22,112,6,1
192.168.1.14,1.1.1.1,32786,6697,987,6,1
10.0.0.110,172.16.0.10,52923,4501,41,6,1
192.168.1.21,172.16.0.30,27539,443,208,17,1
10.0.0.100,1.1.1.1,60022,1,98,6,1
192.168.1.34,172.16.0.20,45171,6667,849,6,1
192.168.1.24,172.16.0.20,30738,22,3088,6,0
10.0.0.113,8.8.8.8,60844,17801,54,6,1
10.0.0.103,172.16.0.30,48498,443,2530,6,1
192.168.1.11,172.16.0.30,50989,53,2631,6,0
10.0.0.114,172.16.0.20,53739,10201,88,6,1
10.0.0.114,172.16.0.10,46122,6667,898,6,1
10.0.0.114,8.8.8.8,50163,8401,90,6,1
192.168.1.36,93.184.216.34,58015,21,3192,6,0
192.168.1.13,1.1.1.1,7813,22,4834,6,0
10.0.0.101,172.16.0.20,14864,80,385,6,1
10.0.0.113,172.16.0.10,50208,30401,68,6,1
192.168.1.39,172.16.0.20,52655,22,4931,6,0
192.168.1.26,93.184.216.34,40820,25,1038,6,0
192.168.1.37,172.16.0.10,29289,22,673,6,0
10.0.0.115,1.1.1.1,58944,48701,45,6,1
192.168.1.45,8.8.8.8,36266,80,434,6,1
10.0.0.118,172.16.0.20,50033,56301,100,6,1
10.0.0.105,172.16.0.10,1127,80,684,6,1
192.168.1.12,93.184.216.34,17377,53,942,6,0
10.0.0.108,172.16.0.10,63978,8080,794,6,1
10.0.0.112,1.1.1.1,62764,64301,67,6,1
10.0.0.103,8.8.8.8,63939,16601,44,6,1
10.0.0.110,1.1.1.1,52483,443,400,6,1
192.168.1.42,104.244.42.1,54030,443,1022,6,0
192.168.1.28,172.16.0.30,9659,8080,311,6,1
192.168.1.14,172.16.0.30,5884,53,3786,6,0
192.168.1.19,172.16.0.20,52969,443,2619,6,0
192.168.1.41,8.8.8.8,56914,443,706,6,0
192.168.1.35,104.244.42.1,50391,80,1665,6,0
10.0.0.109,93.184.216.34,6431,21,82,6,1
192.168.1.42,104.244.42.1,57457,80,998,6,0
192.168.1.47,172.16.0.20,63166,80,59,17,1
10.0.0.110,172.16.0.10,38196,443,1601,6,1
192.168.1.46,172.16.0.10,3660,25,1535,6,0
192.168.1.11,172.16.0.20,27254,443,243,6,1
192.168.1.24,172.16.0.10,42383,53,582,6,0
192.168.1.29,1.1.1.1,47226,53,4105,6,0
192.168.1.25,1.1.1.1,47786,80,2440,6,0
192.168.1.36,172.16.0.20,14824,80,841,6,1
10.0.0.117,172.16.0.30,57757,443,327,6,1
10.0.0.112,172.16.0.20,42005,8080,283,6,1
10.0.0.118,172.16.0.30,53714,16901,90,6,1
192.168.1.35,172.16.0.30,56833,443,188,17,1
10.0.0.118,8.8.8.8,51727,6697,947,6,1
192.168.1.14,8.8.8.8,11757,6667,297,6,1
192.168.1.13,172.16.0.20,31357,443,238,17,1
10.0.0.113,172.16.0.20,62791,25401,98,6,1
10.0.0.113,8.8.8.8,55196,41401,51,6,1
10.0.0.114,1.1.1.1,49466,36701,71,6,1
10.0.0.106,1.1.1.1,8495,443,411,6,1
10.0.0.109,172.16.0.10,21430,80,2711,6,1
10.0.0.108,172.16.0.10,60864,54201,89,6,1
10.0.0.100,93.184.216.34,10959,21,134,6,1
10.0.0.105,1.1.1.1,65211,21,101,6,1
192.168.1.23,1.1.1.1,35043,443,277,6,1
10.0.0.101,172.16.0.20,40706,80,697,6,1
10.0.0.104,1.1.1.1,51347,32701,45,6,1
10.0.0.113,8.8.8.8,59075,64801,55,6,1
192.168.1.28,172.16.0.10,38245,22,979,6,0
192.168.1.24,104.244.42.1,29586,22,4078,6,0
10.0.0.109,172.16.0.30,52272,52601,48,6,1
192.168.1.28,172.16.0.10,43999,6667,603,6,1
192.168.1.12,172.16.0.30,64034,80,1797,6,0
192.168.1.23,172.16.0.30,59801,80,94,6,1
10.0.0.111,172.16.0.30,50729,101,64,6,1
192.168.1.45,93.184.216.34,57500,21,446,6,0
192.168.1.15,1.1.1.1,46360,21,2093,6,0
192.168.1.34,172.16.0.10,56306,80,799,6,1
192.168.1.42,172.16.0.10,43614,53,4564,6,0
10.0.0.104,93.184.216.34,10551,80,332,6,1
10.0.0.118,172.16.0.10,21554,21,190,6,1
192.168.1.33,172.16.0.20,56701,80,3541,6,0
192.168.1.34,172.16.0.10,60402,8080,779,6,1
192.168.1.35,1.1.1.1,57717,25,501,6,0
10.0.0.102,172.16.0.10,59372,35601,61,6,1
192.168.1.49,1.1.1.1,55663,25,103,6,0
10.0.0.101,8.8.8.8,50938,15701,63,6,1
10.0.0.111,172.16.0.30,2956,8080,883,6,1
192.168.1.47,1.1.1.1,63094,80,1899,6,1
192.168.1.11,172.16.0.30,52796,22,2049,6,0
192.168.1.27,8.8.8.8,37173,80,143,6,1
10.0.0.102,104.244.42.1,34902,443,520,6,1
192.168.1.27,172.16.0.10,16841,80,3429,6,0
192.168.1.22,172.16.0.20,16096,80,49,17,1
10.0.0.106,172.16.0.20,64669,8301,94,6,1
10.0.0.116,172.16.0.20,51192,7601,67,6,1
192.168.1.29,151.101.1.69,59981,21,4339,6,0
10.0.0.111,1.1.1.1,50882,80,190,17,1
192.168.1.25,93.184.216.34,25097,53,4560,6,0
192.168.1.18,172.16.0.30,22037,80,539,6,1
10.0.0.115,172.16.0.10,58998,13701,87,6,1
192.168.1.17,1.1.1.1,15497,25,1895,6,0
192.168.1.11,172.16.0.10,4580,80,101,6,1
10.0.0.115,8.8.8.8,33771,22,216,6,1
192.168.1.17,172.16.0.10,34954,21,3270,6,0
10.0.0.107,8.8.8.8,27463,80,221,6,1
10.0.0.108,104.244.42.1,19950,21,164,6,1
192.168.1.25,172.16.0.10,14333,443,327,6,1
10.0.0.103,1.1.1.1,63960,21201,59,6,1
192.168.1.45,93.184.216.34,30760,53,2319,6,0
192.168.1.22,172.16.0.30,64335,8080,1272,6,1
192.168.1.21,1.1.1.1,29569,21,4953,6,0
10.0.0.108,104.244.42.1,8525,443,262,6,1
192.168.1.48,172.16.0.10,3923,53,3395,6,0
10.0.0.109,8.8.8.8,35456,443,2555,6,1
192.168.1.31,172.16.0.20,14879,443,4743,6,0
10.0.0.106,93.184.216.34,5167,22,110,6,1
192.168.1.35,172.16.0.20,31104,21,4728,6,0
192.168.1.18,151.101.1.69,4807,25,4677,6,0
192.168.1.46,1.1.1.1,8786,443,4671,6,0
192.168.1.34,151.101.1.69,39827,80,2089,6,0
192.168.1.47,172.16.0.10,64769,443,474,17,1
10.0.0.103,172.16.0.20,49554,4501,55,6,1
10.0.0.101,172.16.0.20,54844,36301,51,6,1
192.168.1.47,172.16.0.10,44105,21,4881,6,0
192.168.1.34,172.16.0.20,64174,443,185,17,1
10.0.0.106,151.101.1.69,9661,8080,580,6,1
192.168.1.13,172.16.0.20,49434,25,405,6,0
192.168.1.30,172.16.0.10,25433,80,260,6,1
10.0.0.110,172.16.0.30,50729,80,1950,6,1
192.168.1.34,93.184.216.34,10195,53,742,6,0
192.168.1.16,1.1.1.1,17401,8080,834,6,1
192.168.1.46,172.16.0.30,44406,80,65,6,1
10.0.0.109,172.16.0.20,32209,6667,685,6,1
192.168.1.31,172.16.0.30,55738,443,389,6,1
10.0.0.100,1.1.1.1,50213,58101,51,6,1
192.168.1.32,172.16.0.30,7409,80,398,17,1
192.168.1.35,93.184.216.34,62558,25,3095,6,0
192.168.1.37,172.16.0.30,7747,22,755,6,0
192.168.1.47,93.184.216.34,37915,53,2555,6,0
10.0.0.111,8.8.8.8,14243,80,1845,6,1
192.168.1.17,1.1.1.1,56412,21,4695,6,0
192.168.1.44,8.8.8.8,12813,8080,1670,6,1
192.168.1.44,151.101.1.69,43944,21,911,6,0
10.0.0.112,93.184.216.34,26708,443,933,6,1
192.168.1.44,172.16.0.10,20018,80,412,17,1
10.0.0.118,8.8.8.8,52894,58601,57,6,1
10.0.0.114,172.16.0.20,38899,8080,2031,6,1
192.168.1.36,172.16.0.10,25531,25,2031,6,0
10.0.0.101,104.244.42.1,42127,22,291,6,1
192.168.1.43,172.16.0.30,6274,25,1622,6,0
192.168.1.12,172.16.0.20,25742,21,4627,6,0
192.168.1.38,104.244.42.1,37194,22,4551,6,0
192.168.1.36,1.1.1.1,2390,21,2760,6,0
10.0.0.100,1.1.1.1,62732,11501,49,6,1
192.168.1.15,1.1.1.1,63103,443,53,6,1
10.0.0.109,8.8.8.8,48383,6667,612,6,1
192.168.1.13,172.16.0.30,4285,25,768,6,0
